algorithm,function,dimension,interaction,value
DE,sphere,10,mutation_rand/1_x_crossover_binomial,-35.59016951286824
DE,sphere,10,mutation_rand/1_x_selection_greedy,-1.448494102440634e-15
DE,sphere,10,crossover_binomial_x_selection_greedy,-1.448494102440634e-15
DE,sphere,30,mutation_rand/1_x_crossover_binomial,-166.9069862359357
DE,sphere,30,mutation_rand/1_x_selection_greedy,-5.551115123125783e-15
DE,sphere,30,crossover_binomial_x_selection_greedy,-5.551115123125783e-15
DE,sphere,50,mutation_rand/1_x_crossover_binomial,-303.92075642635456
DE,sphere,50,mutation_rand/1_x_selection_greedy,1.7763568394002505e-15
DE,sphere,50,crossover_binomial_x_selection_greedy,1.7763568394002505e-15
DE,rosenbrock,10,mutation_rand/1_x_crossover_binomial,-126063.88093786294
DE,rosenbrock,10,mutation_rand/1_x_selection_greedy,3.2507330161024584e-13
DE,rosenbrock,10,crossover_binomial_x_selection_greedy,3.2507330161024584e-13
DE,rosenbrock,30,mutation_rand/1_x_crossover_binomial,-1275543.4903282633
DE,rosenbrock,30,mutation_rand/1_x_selection_greedy,-1.1141310096718371e-11
DE,rosenbrock,30,crossover_binomial_x_selection_greedy,-1.1141310096718371e-11
DE,rosenbrock,50,mutation_rand/1_x_crossover_binomial,-3219774.593281801
DE,rosenbrock,50,mutation_rand/1_x_selection_greedy,-8.36735125631094e-11
DE,rosenbrock,50,crossover_binomial_x_selection_greedy,-8.36735125631094e-11
DE,rastrigin,10,mutation_rand/1_x_crossover_binomial,-71.85699159512268
DE,rastrigin,10,mutation_rand/1_x_selection_greedy,0.0
DE,rastrigin,10,crossover_binomial_x_selection_greedy,0.0
DE,rastrigin,30,mutation_rand/1_x_crossover_binomial,-173.92950112084088
DE,rastrigin,30,mutation_rand/1_x_selection_greedy,0.0
DE,rastrigin,30,crossover_binomial_x_selection_greedy,0.0
DE,rastrigin,50,mutation_rand/1_x_crossover_binomial,-295.96483285491234
DE,rastrigin,50,mutation_rand/1_x_selection_greedy,0.0
DE,rastrigin,50,crossover_binomial_x_selection_greedy,0.0
DE,schwefel,10,mutation_rand/1_x_crossover_binomial,-1111.4122629168132
DE,schwefel,10,mutation_rand/1_x_selection_greedy,0.0
DE,schwefel,10,crossover_binomial_x_selection_greedy,0.0
DE,schwefel,30,mutation_rand/1_x_crossover_binomial,-1945.2098254713183
DE,schwefel,30,mutation_rand/1_x_selection_greedy,0.0
DE,schwefel,30,crossover_binomial_x_selection_greedy,0.0
DE,schwefel,50,mutation_rand/1_x_crossover_binomial,-2595.4392372885413
DE,schwefel,50,mutation_rand/1_x_selection_greedy,0.0
DE,schwefel,50,crossover_binomial_x_selection_greedy,0.0
DE,ackley,10,mutation_rand/1_x_crossover_binomial,-18.77265450026409
DE,ackley,10,mutation_rand/1_x_selection_greedy,-5.551115123125783e-17
DE,ackley,10,crossover_binomial_x_selection_greedy,-5.551115123125783e-17
DE,ackley,30,mutation_rand/1_x_crossover_binomial,-11.495817107575197
DE,ackley,30,mutation_rand/1_x_selection_greedy,0.0
DE,ackley,30,crossover_binomial_x_selection_greedy,0.0
DE,ackley,50,mutation_rand/1_x_crossover_binomial,-7.574084752238022
DE,ackley,50,mutation_rand/1_x_selection_greedy,0.0
DE,ackley,50,crossover_binomial_x_selection_greedy,0.0
DE,griewank,10,mutation_rand/1_x_crossover_binomial,-122.46955536120942
DE,griewank,10,mutation_rand/1_x_selection_greedy,-6.106226635438361e-16
DE,griewank,10,crossover_binomial_x_selection_greedy,-6.106226635438361e-16
DE,griewank,30,mutation_rand/1_x_crossover_binomial,-573.0296612886017
DE,griewank,30,mutation_rand/1_x_selection_greedy,-2.042810365310288e-14
DE,griewank,30,crossover_binomial_x_selection_greedy,-2.042810365310288e-14
DE,griewank,50,mutation_rand/1_x_crossover_binomial,-1043.4291106599505
DE,griewank,50,mutation_rand/1_x_selection_greedy,-1.4210854715202004e-14
DE,griewank,50,crossover_binomial_x_selection_greedy,-1.4210854715202004e-14
